guid,ttp
3e757ce7-eca0-411a-9583-1c33b8508d52,T1112
45914594-8df6-4ea9-b3cc-7eb9321a807e,T1112
4d72d4b1-fa7b-4374-b423-0fe326da49d2,T1112
4f4e2f9f-6209-4fcf-9b15-3b7455706f5b,T1112
5e27bdb4-7fd9-455d-a2b5-4b4b22c9dea4,T1112
65704cd4-6e36-4b90-b6c1-dc29a82c8e56,T1112
6e0d1131-2d7e-4905-8ca5-d6172f05d03d,T1112
71db768a-5a9c-4047-b5e7-59e01f188e84,T1112
795d3248-0394-4d4d-8e86-4e8df2a2693f,T1112
7f037590-b4c6-4f13-b3cc-e424c5ab8ade,T1112
8023db1e-ad06-4966-934b-b6a0ae52689e,T1112
86677d0e-0b5e-4a2b-b302-454175f9aa9e,T1112
8d85a5d8-702f-436f-bc78-fcd9119496fc,T1112
93386d41-525c-4a1b-8235-134a628dee17,T1112
95b25212-91a7-42ff-9613-124aca6845a8,T1112
a450e469-ba54-4de1-9deb-9023a6111690,T1112
a4637291-40b1-4a96-8c82-b28f1d73e54e,T1112
ac34b0f7-0f85-4ac0-b93e-3ced2bc69bb8,T1112
af254e70-dd0e-4de6-9afe-a994d9ea8b62,T1112
c0413fb5-33e2-40b7-9b6f-60b29f4a7a18,T1112
c0d6d67f-1f63-42cc-95c0-5fd6b20082ad,T1112
c173c948-65e5-499c-afbe-433722ed5bd4,T1112
c30dada3-7777-4590-b970-dc890b8cf113,T1112
c375558d-7c25-45e9-bd64-7b23a97c1db0,T1112
d2561a6d-72bd-408c-b150-13efe1801c2a,T1112
d29b7faf-7355-4036-9ed3-719bd17951ed,T1112
d2c9e41e-cd86-473d-980d-b6403562e3e1,T1112
d49ff3cc-8168-4123-b5b3-f057d9abbd55,T1112
d4a6da40-618f-454d-9a9e-26af552aaeb0,T1112
e246578a-c24d-46a7-9237-0213ff86fb0c,T1112
f3a6cceb-06c9-48e5-8df8-8867a6814245,T1112
ffbb407e-7f1d-4c95-b22e-548169db1fbd,T1112
3c898f62-626c-47d5-aad2-6de873d69153,T1113
e9313014-985a-48ef-80d9-cde604ffc187,T1113
0cd14633-58d4-4422-9ede-daa2c9474ae7,T1115
d6dc21af-bec9-4152-be86-326b6babd416,T1115
634bd9b9-dc83-4229-b19f-7f83ba9ad313,T1119
aa1180e2-f329-4e1e-8625-2472ec0bfaf3,T1119
c3f6d794-50dd-482f-b640-0384fbb7db26,T1119
cb379146-53f1-43e0-b884-7ce2c635ff5b,T1119
7a21cce2-6ada-4f7c-afd9-e1e9c481e44a,T1123
9c3ad250-b185-4444-b5a9-d69218a10c95,T1123
1d5711d6-655c-4a47-ae9c-6503c74fa877,T1124
20aba24b-e61f-4b26-b4ce-4784f763ca20,T1124
d5d5a6b0-0f92-42d8-985d-47aafa2dd4db,T1124
6581e4a7-42e3-43c5-a0d2-5a0d62f9702a,T1125
c3ed6d2a-e3ad-400d-ad78-bbfdbfeacc08,T1132.001
dbf4f5a9-b8e0-46a3-9841-9ad71247239e,T1134.002
6657864e-0323-4206-9344-ac9cd7265a4f,T1136.001
bc8be0ac-475c-4fbf-9b1d-9fffd77afbde,T1136.001
fda74566-a604-4581-a4cc-fbbe21d66559,T1136.001
dc7726d2-8ccb-4cc6-af22-0d5afb53a548,T1136.002
bfe6ac15-c50b-4c4f-a186-0fc6b8ba936c,T1137
c3e35b58-fe1c-480b-b540-7600fb612563,T1137.002
7a91ad51-e6d2-4d43-9471-f26362f5738e,T1137.004
71abc534-3c05-4d0c-80f7-cbe93cb2aa94,T1140
dc6fe391-69e6-4506-bd06-ea5eeb4082f8,T1140
3c73d728-75fb-4180-a12f-6712864d7421,T1197
62a06ec5-5754-47d2-bcfc-123d8314c6ae,T1197
afb5e09e-e385-4dee-9a94-6ee60979d114,T1197
f63b8bc4-07e5-4112-acba-56f646f3f0bc,T1197
4588d243-f24e-4549-b2e3-e627acc089f6,T1201
46c2c362-2679-4ef5-aec9-0e958e135be4,T1201
b2698b33-984c-4a1c-93bb-e4ba72a0babb,T1201
8b34a448-40d9-4fc3-a8c8-4bb286faf7dc,T1202
cecfea7a-5f03-4cdd-8bc8-6f7c22862440,T1202
cf3391e0-b482-4b02-87fc-ca8362269b29,T1202
3f3af983-118a-4fa1-85d3-ba4daa739d80,T1204.002
275d963d-3f36-476c-8bef-a2a3960ee6eb,T1216
2a8f2d3c-3dec-4262-99dd-150cb2a4d63a,T1216
4312cdbc-79fc-4a9c-becc-53d49c734bc5,T1217
727dbcdb-e495-4ab1-a6c4-80c7f77aef85,T1217
76f71e2f-480e-4bed-b61e-398fe17499d5,T1217
faab755e-4299-48ec-8202-fc7885eb6545,T1217
5bcda9cd-8e85-48fa-861d-b5a85d91d48c,T1218
f8da74bb-21b8-4af9-8d84-f2c8e4a220e3,T1218
8707a805-2b76-4f32-b1c0-14e558205772,T1218.005
906865c3-e05f-4acc-85c4-fbc185455095,T1218.005
22cfde89-befe-4e15-9753-47306b37a6e3,T1218.011
638730e7-7aed-43dc-bf8c-8117f805f5bb,T1218.011
83a95136-a496-423c-81d3-1c6750133917,T1218.011
9f5d081a-ee5a-42f9-a04e-b7bdc487e676,T1218.011
32b979da-7b68-42c9-9a99-0e39900fc36c,T1222.001
4700a710-c821-4e17-a3ec-9e4c81d6845f,T1482
9ab80952-74ee-43da-a98c-1e740a985f28,T1484.001
b51eae65-5441-4789-b8e8-64783c26c1d1,T1484.001
321fd25e-0007-417f-adec-33232252be19,T1485
649349c7-9abf-493b-a7a2-b1aa4d141528,T1486
21dfb440-830d-4c86-a3e5-2a491d5a8d04,T1489
41274289-ec9c-4213-bea4-e43c4aa57954,T1489
f3191b84-c38b-400b-867e-3a217a27795f,T1489
1c68c68d-83a4-4981-974e-8993055fa034,T1490
263ba6cb-ea2b-41c9-9d4e-b652dadd002c,T1490
39a295ca-7059-4a88-86f6-09556c1211e7,T1490
584331dd-75bc-4c02-9e0b-17f5fd81c748,T1490
66e647d1-8741-4e43-b7c1-334760c2047f,T1490
cf21060a-80b3-4238-a595-22525de4ab81,T1490
4a41089a-48e0-47aa-82cb-5b81a463bc78,T1497.001
502a7dc4-9d6f-4d28-abf2-f0e84692562d,T1497.001
68981660-6670-47ee-a5fa-7e74806420a4,T1518
c49978f6-bd6e-4221-ad2c-9e3e30cc1e3b,T1518
1553252f-14ea-4d3b-8a08-d7a4211aa945,T1518.001
7f566051-f033-49fb-89de-b6bacab730f0,T1518.001
fe613cf3-8009-4446-9a0f-bc78a15b66c9,T1518.001
ed366cde-7d12-49df-a833-671904770b9f,T1543.003
10a08978-2045-4d62-8c42-1957bbbea102,T1546.001
281201e7-de41-4dc9-b73d-f288938cbb64,T1546.002
3309f53e-b22b-4eb6-8fd2-a6cf58b355a9,T1546.008
934e90cf-29ca-48b3-863c-411737ad44e3,T1546.008
9b6a06f9-ab5e-4e8d-8289-1df4289db02f,T1546.011
13117939-c9b2-4a43-999e-0a543df92f0d,T1546.012
46b1f278-c8ee-4aa5-acce-65e77b11f3c1,T1546.012
fdda2626-5234-4c90-b163-60849a24c0b8,T1546.012
752191b1-7c71-445c-9dbe-21bb031b18eb,T1546.015
cb01b3da-b0e7-4e24-bf6d-de5223526785,T1547
24e55612-85f6-4bd6-ae74-a73d02e3441d,T1547.001
2cb98256-625e-4da9-9d44-f2e5f90b8bd5,T1547.001
554cbd88-cde1-4b56-8168-0be552eed9eb,T1547.001
5b6768e4-44d2-44f0-89da-a01d1430fd5e,T1547.001
